genre,playlist_id,playlist_name,track_id,track_name,artist_names,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Psychedelic,5CgcYeAMe3yfpzGWzVXKCm,Psytrance Guide: Psychedelic,3N1ah0beEy0AAQfbiIv7Rv,Daws Of Perception - Imagine Mars & Volcano Remix,"Tristan, Aardvarkk",0.557,0.982,6,-5.231,1,0.0632,2.72e-5,0.727,0.21,0.159,143.995
Psychedelic,5CgcYeAMe3yfpzGWzVXKCm,Psytrance Guide: Psychedelic,7dKXyAl2bmt12mI8WQvDJ3,Tuned In Perfectly,Mad Tribe,0.572,0.942,9,-6.113,1,0.0397,7.45e-5,0.777,0.602,0.398,145.01
Psychedelic,5CgcYeAMe3yfpzGWzVXKCm,Psytrance Guide: Psychedelic,3kcOs4RePw7Q1tiaTofa9a,Experimental Virus - Original Mix,"Djantrix, Spirit Architect",0.606,0.996,0,-6.245,1,0.0675,3.52e-5,0.77,0.341,0.233,144.993
Psychedelic,5CgcYeAMe3yfpzGWzVXKCm,Psytrance Guide: Psychedelic,2DMIj0rYr78mc6RrYNCfKf,Hippie Shaker,"Dust, Lunática",0.566,0.911,8,-6.863,0,0.0553,4.89e-4,0.899,0.217,0.0637,144.991
Psychedelic,5CgcYeAMe3yfpzGWzVXKCm,Psytrance Guide: Psychedelic,1URGHhfEBnmzcVvjB5uLJV,"Mind, Body & Soul - Original",Various Artists,0.582,0.963,6,-6.309,0,0.0489,2.17e-5,0.781,0.336,0.065,144.993
Psychedelic,5CgcYeAMe3yfpzGWzVXKCm,Psytrance Guide: Psychedelic,3AqfOtMO7PhSePMWgYehxA,Paradise on Earth,Photosynthesis,0.513,0.973,0,-4.944,1,0.0513,8.83e-5,0.538,0.105,0.117,143.999
Psychedelic,5CgcYeAMe3yfpzGWzVXKCm,Psytrance Guide: Psychedelic,30Qqh80GawaXVYqEhtfhwv,Music Is The Heart,"Mandala (UK), Hypnocoustics",0.549,0.953,10,-5.311,0,0.0419,2.67e-5,0.714,0.413,0.241,144.001
Psychedelic,5CgcYeAMe3yfpzGWzVXKCm,Psytrance Guide: Psychedelic,7g1xBazMPCsAahtLCFHhEL,Illusion - Original Mix,Cambium,0.558,0.965,6,-5.356,0,0.045,3.16e-5,0.79,0.182,0.0919,143.014
Psychedelic,5CgcYeAMe3yfpzGWzVXKCm,Psytrance Guide: Psychedelic,3y41F6NKwOcMxcw44uNgfx,Cosmic Doorway,"Imaginarium, Shivatree",0.666,0.95,6,-5.921,0,0.0526,3.2e-5,0.643,0.537,0.151,144.041
Psychedelic,5CgcYeAMe3yfpzGWzVXKCm,Psytrance Guide: Psychedelic,4tH3JUU5PC7FCvS87w1gDj,Abduction - Original Mix,"Lyktum, Zarma",0.502,0.989,1,-5.058,1,0.0489,9.97e-5,0.856,0.121,0.175,145.999
Psychedelic,5CgcYeAMe3yfpzGWzVXKCm,Psytrance Guide: Psychedelic,5JiuV5MtFrt0wkpCTNYllE,Edge of Sanity,Ace Ventura,0.611,0.894,8,-5.458,1,0.0481,8.63e-5,0.805,0.106,0.155,143.995
Psychedelic,5CgcYeAMe3yfpzGWzVXKCm,Psytrance Guide: Psychedelic,4VI3zhR6b4XFS2ZMsmohfX,There Are No UFOs,Manmachine,0.603,0.994,9,-5.022,1,0.0668,9.82e-5,0.704,0.2,0.632,144.99
Psychedelic,5CgcYeAMe3yfpzGWzVXKCm,Psytrance Guide: Psychedelic,7CRMavjrfUFzj4ijaMQMDN,Bansuri,Electric Universe,0.512,0.963,8,-4.078,1,0.0509,8.14e-5,0.815,0.22,0.153,144.994
Psychedelic,5CgcYeAMe3yfpzGWzVXKCm,Psytrance Guide: Psychedelic,2gTS5AbP0FrGEflGANQSqG,Laugh Frequency - Original Mix,"Shibass, Ambassador",0.615,0.852,0,-6.795,1,0.0538,0.00131,0.75,0.738,0.374,144.997
Psychedelic,5CgcYeAMe3yfpzGWzVXKCm,Psytrance Guide: Psychedelic,3DV3SF6JdwI2GXEkTmtiTo,Computer Memory,"Helber Gun, Ital",0.653,0.964,8,-5.781,1,0.0694,4.85e-5,0.646,0.105,0.216,143.989
Psychedelic,5CgcYeAMe3yfpzGWzVXKCm,Psytrance Guide: Psychedelic,5GXZQ6WArBvlKpwulhLUrE,A Better One,"Spinal Fusion, Mystic",0.591,0.954,1,-7.123,1,0.0512,7.33e-4,0.879,0.542,0.317,142.003
Psychedelic,5CgcYeAMe3yfpzGWzVXKCm,Psytrance Guide: Psychedelic,78QkXDc7biUyPR4PfDC9Wu,Space Candy,San Pedro,0.652,0.991,1,-4.621,1,0.0431,4.09e-5,0.811,0.105,0.148,144.975
